Name,Platform,MSRP,Buy Digital,Buy Physical,Demo Available,DLC Available,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Arcade,Board Game,Camera,Casual,Communication,Creature Creator,Dance,Education,Edutainment,Fighting,First-Person,Fishing Game,Fitness,Gambling,Hidden Object,Interactive Theme Park,Lifestyle,Mental Training,Multiplayer,Music,Other,Party,Platformer,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Trivia,Undefined,Store Link,Official Site,Time Data Retrieved (UTC)
The Charming Empire,Nintendo Switch,$24.99,True,,,,D3Publisher,OperaHouse Corporation,Mature,"Mar 29, 2018",1 player,598 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/the-charming-empire-switch,,2019-05-15 08:12:39
"THE Card: Poker, Texas hold 'em, Blackjack and Page One",Nintendo Switch,$4.99,True,,,,D3Publisher,,Teen,"Sep 20, 2018",1 player,120 MB,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,https://www.nintendo.com/games/detail/the-card-poker-texas-hold-em-blackjack-and-page-one-switch,,2019-05-15 08:12:39
The Bunker,Nintendo Switch,$12.49,True,,,,Wales Interactive Ltd.,Splendy Games / Wales Interactive,Teen,"Apr 09, 2018",1 player,2.5 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/the-bunker-switch,,2019-05-15 08:12:39
The Bridge,Nintendo Switch,$9.99,True,,True,,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,Everyone,"Sep 07, 2017",1 player,179 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,True,,,https://www.nintendo.com/games/detail/the-bridge-switch,http://www.thebridgeisblackandwhite.com/,2019-05-15 08:12:40
The Binding of Isaac: Afterbirth+,Nintendo Switch,$39.99,True,True,,,"Nicalis, Inc.",Nicalis,Mature,"Mar 17, 2017",up to 4 players,696 MB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/the-binding-of-isaac-afterbirth-plus-switch,http://bindingofisaac.com/,2019-05-15 08:12:40
The Amazing Shinsengumi: Heroes in Love,Nintendo Switch,$11.99,True,,,,D3Publisher,,Mature,"Aug 09, 2018",1 player,306 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nintendo.com/games/detail/the-amazing-shinsengumi-heroes-in-love-switch,,2019-05-15 08:12:40
The Adventures of Elena Temple,Nintendo Switch,$4.99,True,,,,GrimTalin,GrimTalin,Everyone 10+,"May 15, 2018",1 player,161 MB,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/the-adventures-of-elena-temple-switch,,2019-05-15 08:12:40
The Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,Nintendo Switch,$4.99,True,,,,Chorus Worldwide Games,Rumpus Animation,Teen,"Mar 29, 2018",1 player,1.4 GB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,https://www.nintendo.com/games/detail/the-adventures-of-bertram-fiddle-episode-1-switch,,2019-05-15 08:12:41
The Adventure Pals,Nintendo Switch,$14.99,True,,,,Armor Games Studios,Massive Monster,Everyone 10+,"Apr 03, 2018",up to 2 players,1.4 GB,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/the-adventure-pals-switch,,2019-05-15 08:12:41
TETRA's Escape,Nintendo Switch,$4.99,True,,True,,Ratalaika Games,,Everyone,"Aug 10, 2018",1 player,480 MB,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/tetras-escape-switch,,2019-05-15 08:12:41
Teslagrad,Nintendo Switch,,True,,,,Rain Games,Rain,Everyone,"Dec 07, 2017",1 player,482 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,https://www.nintendo.com/games/detail/teslagrad-switch,,2019-05-15 08:12:42
