Nintendo Switch,Nintendo 3DS,Wii U,iOS,Android
https://www.nintendo.com/games/detail/chicken-rider-switch,https://www.nintendo.com/games/detail/pokemon-silver-version-3ds,https://www.nintendo.com/games/detail/dungeon-explorer-wii-u,,
https://www.nintendo.com/games/detail/devious-dungeon-2-switch,https://www.nintendo.com/games/detail/pokemon-gold-version-3ds,https://www.nintendo.com/games/detail/ghost-blade-hd-wii-u,,
https://www.nintendo.com/games/detail/steven-universe-save-the-light-and-ok-k-o-lets-play-heroes-combo-switch,https://www.nintendo.com/games/detail/frutakia-2-3ds,https://www.nintendo.com/games/detail/maze-break-wii-u,,
https://www.nintendo.com/games/detail/octogeddon-switch,https://www.nintendo.com/games/detail/guide-the-ghost-3ds,https://www.nintendo.com/games/detail/harvest-moon-64-wii-u,,
https://www.nintendo.com/games/detail/guilty-gear-xx-accent-core-plus-r-switch,https://www.nintendo.com/games/detail/metroid-samus-returns-special-edition-3ds,https://www.nintendo.com/games/detail/ogre-battle-64-person-of-lordly-caliber-wii-u,,
https://www.nintendo.com/games/detail/project-nimbus-complete-edition-switch,https://www.nintendo.com/games/detail/percys-predicament-deluxe-3ds,https://www.nintendo.com/games/detail/color-cubes-wii-u,,
https://www.nintendo.com/games/detail/39-days-to-mars-switch,https://www.nintendo.com/games/detail/minecraft-new-nintendo-3ds-edition,https://www.nintendo.com/games/detail/back-to-bed-wii-u,,
https://www.nintendo.com/games/detail/koral-switch,https://www.nintendo.com/games/detail/monster-hunter-stories-3ds,https://www.nintendo.com/games/detail/y-a-s-g-wii-u,,
https://www.nintendo.com/games/detail/thief-simulator-switch,https://www.nintendo.com/games/detail/crystareino-3ds,https://www.nintendo.com/games/detail/words-up-academy-wii-u,,
https://www.nintendo.com/games/detail/darkwood-switch,https://www.nintendo.com/games/detail/chicken-wiggle-3ds,https://www.nintendo.com/games/detail/brick-race-wii-u,,
https://www.nintendo.com/games/detail/pocket-league-story-switch,https://www.nintendo.com/games/detail/alchemic-dungeons-3ds,https://www.nintendo.com/games/detail/mario-vs-donkey-kong-wii-u,,
https://www.nintendo.com/games/detail/undead-horde-switch,https://www.nintendo.com/games/detail/monster-hunter-stories-demo-3ds,https://www.nintendo.com/games/detail/plantera-wii-u,,
https://www.nintendo.com/games/detail/super-life-of-pixel-switch,https://www.nintendo.com/games/detail/elminage-original-3ds,https://www.nintendo.com/games/detail/lucentek-beyond-wii-u,,
https://www.nintendo.com/games/detail/evil-defenders-switch,https://www.nintendo.com/games/detail/voxelmaker-3ds,https://www.nintendo.com/games/detail/i-c-redd-wii-u,,
https://www.nintendo.com/games/detail/blades-of-time-switch,https://www.nintendo.com/games/detail/miitopia-3ds,https://www.nintendo.com/games/detail/bomberman-94-wii-u,,
https://www.nintendo.com/games/detail/rock-of-ages-2-bigger-and-boulder-switch,https://www.nintendo.com/games/detail/hey-pikmin-3ds,https://www.nintendo.com/games/detail/star-splash-shattered-star-wii-u,,
https://www.nintendo.com/games/detail/sniper-elite-v2-remastered-switch,https://www.nintendo.com/games/detail/kid-tripp-3ds,https://www.nintendo.com/games/detail/gradius-wii-u,,
https://www.nintendo.com/games/detail/car-trader-switch,https://www.nintendo.com/games/detail/swipe-3ds,https://www.nintendo.com/games/detail/little-ninja-brothers-wii-u,,
https://www.nintendo.com/games/detail/dragon-pinball-switch,https://www.nintendo.com/games/detail/parascientific-escape-crossing-at-the-farthest-horizon-3ds,https://www.nintendo.com/games/detail/kung-fu-heroes-wii-u,,
https://www.nintendo.com/games/detail/saints-row-the-third-the-full-package-switch,https://www.nintendo.com/games/detail/miitopia-casting-call-3ds,https://www.nintendo.com/games/detail/flying-warriors-wii-u,,
https://www.nintendo.com/games/detail/tales-from-space-mutant-blobs-attack-switch,https://www.nintendo.com/games/detail/asdivine-cross-3ds,https://www.nintendo.com/games/detail/snowball-wii-u,,
https://www.nintendo.com/games/detail/lovecrafts-untold-stories-switch,https://www.nintendo.com/games/detail/cursed-castilla-3ds,https://www.nintendo.com/games/detail/koi-dx-wii-u,,
https://www.nintendo.com/games/detail/blazing-beaks-switch,https://www.nintendo.com/games/detail/bit-dungeon-plus-3ds,https://www.nintendo.com/games/detail/star-fox-64-wii-u,,
https://www.nintendo.com/games/detail/my-big-sister-switch,https://www.nintendo.com/games/detail/kirbys-blowout-blast-3ds,https://www.nintendo.com/games/detail/mega-maze-wii-u,,
https://www.nintendo.com/games/detail/reverse-crawl-switch,https://www.nintendo.com/games/detail/stack-em-high-3ds,https://www.nintendo.com/games/detail/f-zero-x-wii-u,,
https://www.nintendo.com/games/detail/frane-dragons-odyssey-switch,https://www.nintendo.com/games/detail/table-tennis-infinity-3ds,https://www.nintendo.com/games/detail/spheroids-wii-u,,
https://www.nintendo.com/games/detail/arcade-archives-ninja-gaiden-switch,https://www.nintendo.com/games/detail/crollors-game-pack-3ds,https://www.nintendo.com/games/detail/pokemon-snap-wii-u,,
https://www.nintendo.com/games/detail/ascendance-switch,https://www.nintendo.com/games/detail/6180-the-moon-3ds,https://www.nintendo.com/games/detail/cup-critters-wii-u,,
