Name,Platform,MSRP,Sale Price,Buy Digital,Buy Physical,Demo Available,DLC,Publisher,Developer,ESRB,Release Date,No. of Players,Rom File Size,Switch Online Play,Switch Online Save,Switch Online App,Action,Adventure,Application,Education,First-Person,Fitness,Music,Party,Puzzle,Racing,Role-Playing,Simulation,Sports,Strategy,M,u,l,t,i,p,l,a,y,e,r,Store Link,Official Site,Time Data Retrieved (UTC)
Etrian Odyssey Nexus,Nintendo 3DS,$39.99,,True,True,,,Sega,Atlus,Teen,"Feb 05, 2019",1 player,6575 Blocks,,,,,,,,,,,,,,True,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/etrian-odyssey-nexus-3ds,https://atlus.com/etriannexus/,2019-05-15 01:29:10
Azure Snake,Nintendo 3DS,$0.99,,True,,,,RandomSpin,RandomSpin,Everyone,"Jan 24, 2019",1 player,219 Blocks,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/azure-snake-3ds,,2019-05-15 01:29:11
Phasmophobia: Hall of Specters 3D,New Nintendo 3DS systems only,$2.99,,True,,,,In-D Gaming,In-D Gaming,Teen,"Jan 17, 2019",1 player,286 Blocks,,,,True,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/phasmophobia-hall-of-specters-3d-3ds,,2019-05-15 01:29:11
Dragon's Wrath,Nintendo 3DS,$4.99,,True,,,,Gamers Digital,Codeglue,Everyone 10+,"Jan 17, 2019",1 player,575 Blocks,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/dragons-wrath-3ds,,2019-05-15 01:29:12
Operation COBRA,New Nintendo 3DS systems only,$2.99,,True,,,,Bidement Entertainment,StickBit,Teen,"Jan 11, 2019",1 player,396 Blocks,,,,True,,,,True,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/operation-cobra-3ds,,2019-05-15 01:29:12
RTO 3,Nintendo 3DS,$9.99,,True,,,,nuGAME,nuGAME,Teen,"Jan 03, 2019",1 player,704 Blocks,,,,True,,,,True,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/rto-3-3ds,,2019-05-15 01:29:13
PixelMaker Studio,Nintendo 3DS,$9.99,,True,,,,Undefined,Undefined,Everyone,"Nov 29, 2018",1 player,221 Blocks,,,,,,,True,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pixelmaker-studio-3ds,,2019-05-15 01:29:14
RTO 2,Nintendo 3DS,$9.99,,True,,,,nuGAME,nuGAME,Everyone 10+,"Nov 22, 2018",1 player,778 Blocks,,,,True,,,,True,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/rto-2-3ds,,2019-05-15 01:29:14
Japanese Rail Sim 3D 5 types of trains,Nintendo 3DS,$19.99,,True,,,,"Sonic Powered Co.,Ltd.",Sonic Powered,Everyone,"Nov 22, 2018",1 player,11909 Blocks,,,,,,,,,,,,,,,True,,,,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/japanese-rail-sim-3d-5-types-of-trains-3ds,,2019-05-15 01:29:15
Pinball Breakout 2,Nintendo 3DS,$7.00,,True,,,,nuGAME,nuGAME,Everyone,"Nov 15, 2018",1 player,590 Blocks,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True,True,https://www.nintendo.com/games/detail/pinball-breakout-2-3ds,,2019-05-15 01:29:15
